"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Product Image ID - 3","Product Image File - 3","Product Image Description - 3","Product Image Is Thumbnail - 3","Product Image Sort - 3","Product Image ID - 4","Product Image File - 4","Product Image Description - 4","Product Image Is Thumbnail - 4","Product Image Sort - 4","Product Image ID - 5","Product Image File - 5","Product Image Description - 5","Product Image Is Thumbnail - 5","Product Image Sort - 5","Search Keywords","Page Title","Meta Keywords","Meta Description","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","Product Condition","Event Date Required?","Event Date Name","Event Date Is Limited?","Event Date Start Date","Event Date End Date","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,8234,"Discmania Active Sensei ",P,119DMXX,,Discmania,"Disc Golf - Stock Models",Right,"<p><span style=""font-weight: 400;""><span style=""font-weight: 400;""><span style=""font-weight: 400;"">The SENSEI is a low profile putter with an extremely flat top that fits great in any hand size. By far the most popular of the new active line releases from Dsicmania. This putter has a neutral flight with a slight fade at the end, that helps guarantee a strong connection with the chains and keeping putting flight consistent. The SENSEI also doubles as a great approach disc. When thrown from further out the SENSEI sails straight with little to no fade, making this disc perfect for all types of approach shots. </span></span></span></p> <p><span style=""font-weight: 400;""><span style=""font-weight: 400;""><span style=""font-weight: 400;""><em>Please note: disc and stamp colors may vary from images shown.</em></span></span></span></p> <p>Information about <a title=""Information about this plastic type"" href=""https://www.wrightlife.com/plastic-types-and-descriptions/"">Discmania Active Baseline plastic</a></p> <h3>FLIGHT CHARACTERISTICS</h3> <p><img class=""__mce_add_custom__"" title=""speed-3.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/speed-3.gif"" alt=""speed-3.gif"" width=""70"" height=""62"" /><img class=""__mce_add_custom__"" title=""glide-3.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/glide-3.gif"" alt=""glide-3.gif"" width=""70"" height=""62"" /></p> <p><img class=""__mce_add_custom__"" title=""turn-zero.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/turn-zero.gif"" alt=""turn-zero.gif"" width=""70"" height=""62"" /><img class=""__mce_add_custom__"" title=""fade-1.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/fade-1.gif"" alt=""fade-1.gif"" width=""70"" height=""62"" /><br /><a href=""https://www.wrightlife.com/flight-bar-details/"">(What is this?)</a></p> <h3>SPECIFICATIONS</h3> <ul> <li>Classification: Putter</li> <li>Best Choice for: All around putter</li> <li>Assorted weights between 165-170g</li> </ul> <h3>More Information</h3> <p><a title=""Wright Life staff picks"" href=""https://www.wrightlife.com/staff-picks/"">See what the Wright Life staff have in their bag</a></p> <p><a title=""Learn why discs fly the way they do"" href=""https://www.wrightlife.com/the-nature-of-flight/"">Learn about the ""Nature of Disc Flight""</a></p>",7.99,7.05,0.00,0.00,0.0000,N,,0.4000,8.2500,0.5000,8.2500,Y,Y,"Ships in 1-2 Days","by option",7,0,"Disc Golf/Discs/Putter & Approach",42870,m/499/DSC03394__77251.JPG,,Y,0,42871,l/486/DSC03389__49161.JPG,,N,1,42872,i/265/DSC03384__74746.JPG,,N,2,,,,,,,,,,,,,,,,,,New,N,,N,,,0,"Default Tax Class",,N,/disc-golf/discs/putter-approach/discmania-active-sensei/,,,,,,,,,,,,N,,"Speed=3;Glide=3;Turn=0;Fade=1;""Plastic Class=Basic"""
"  SKU",85712,"[S]Disc weight=167-169 grams",,119DMWHIT6769,,,,,,,0.00,,,,N,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85713,"[S]Disc color=Pink,[S]Disc weight=167-169 grams",,119DMPINK6769,,,,,,,0.00,,,,N,,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85714,"[S]Disc color=Blue,[S]Disc weight=167-169 grams",,119DMBLUE6769,,,,,,,0.00,,,,N,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",19751,,,119DMWHIT6769,,,,,,,,,,,,,,,,,Y,Y,,,,,,,19751_source_1601416979.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
"  Rule",19753,,,119DMPINK6769,,,,,,,,,,,,,,,,,Y,Y,,,,,,,19753_source_1601417042.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
"  Rule",19755,,,119DMBLUE6769,,,,,,,,,,,,,,,,,Y,Y,,,,,,,19755_source_1601417093.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
Product,8235,"Discmania Active Mentor",P,116DMXX,,Discmania,"Disc Golf - Stock Models",Right,"<p><span style=""font-weight: 400;"">The MENTOR is <span style=""font-weight: 400;"">the band new distance driver being released as part of our Discmania Active lineup. The Sea Serpent has been designed to optimize the distance players can get by combining a high speed turn and slow speed stability to make a distance driver that can be used by all players. The&nbsp;<span style=""font-weight: 400;"">MENTOR</span> features the widest rim currently made in our Active lineup, which helps it to cut through the air and gives it consistent flight. The&nbsp;<span style=""font-weight: 400;"">MENTOR</span> gains more turn the faster it&rsquo;s thrown meaning you can throw harder for more distance or throw softer for a more controlled stable shot.</span><br /></span></p> <p><span style=""font-weight: 400;""><span style=""font-weight: 400;""><em>Please note: disc and stamp colors may vary from images shown.</em></span></span></p> <p>Information about <a title=""Information about this plastic type"" href=""https://www.wrightlife.com/plastic-types-and-descriptions/"">Discmania Active Baseline plastic</a></p> <h3>FLIGHT CHARACTERISTICS</h3> <p><img class=""__mce_add_custom__"" title=""speed-11.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/speed-11.gif"" alt=""speed-11.gif"" width=""70"" height=""62"" /><img class=""__mce_add_custom__"" title=""glide-5.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/glide-5.gif"" alt=""glide-5.gif"" width=""70"" height=""62"" /></p> <p><img class=""__mce_add_custom__"" title=""turn-minus-2.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/turn-minus-2.gif"" alt=""turn-minus-2.gif"" width=""70"" height=""62"" /><img class=""__mce_add_custom__"" title=""fade-2.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/fade-2.gif"" alt=""fade-2.gif"" width=""70"" height=""62"" /><br /><a href=""https://www.wrightlife.com/flight-bar-details/"">(What is this?)</a></p> <h3>SPECIFICATIONS</h3> <ul> <li>Classification: Distance Driver</li> <li>Best Choice for: Shaped shots, controlled drives, long distance</li> <li>Assorted weights between 165-170g</li> </ul> <h3>More Information</h3> <p><a title=""Wright Life staff picks"" href=""https://www.wrightlife.com/staff-picks/"">See what the Wright Life staff have in their bag</a></p> <p><a title=""Learn why discs fly the way they do"" href=""https://www.wrightlife.com/the-nature-of-flight/"">Learn about the ""Nature of Disc Flight""</a></p>",7.99,7.05,0.00,0.00,0.0000,N,,0.4000,8.2500,0.5000,8.2500,Y,Y,"Ships in 1-2 Days","by option",5,0,"Disc Golf/Discs/Distance Driver",42916,r/039/DSC03465__98837.JPG,"Discmania Active MENTOR Blue Top View",Y,0,42915,j/093/DSC03460__26236.JPG,"Discmania Active MENTOR Pink Top View",N,1,42917,b/124/DSC03470__81652.JPG,"Discmania Active MENTOR White Top View",N,2,,,,,,,,,,,,,,,,,,New,N,,N,,,0,"Default Tax Class",,N,/disc-golf/discs/distance-driver/discmania-active-mentor/,,,,,,,,,,,,N,,"Speed=11;Glide=5;Turn=-2;Fade=2;""Plastic Class=Basic"""
"  SKU",85747,"[S]Disc color=Blue,[S]Disc weight=167-169 grams",,116DMBLUE167,,,,,,,0.00,,,,N,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85748,"[S]Disc color=Pink,[S]Disc weight=167-169 grams",,116DMPINK169,,,,,,,0.00,,,,N,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
